No.,Q1,Q2
11,Using data mining as a system developer living in the AI generation. Studying statistics. I think it can be used in many ways at school as well.,I want to know how data classification and mining methods are actually used in which systems. I want to understand how feature extraction is performed.
12,Solving real-life problems through knowledge and tools while learning data mining. I want to study machine learning and AI more deeply and understand how companies actually use them.,Attempting to solve various problems through classification and clustering via data mining. Data mining can be used for providing real-time traffic information or personalized experiences.
13,Taking the course to improve capabilities when seeking employment. Acquiring background knowledge necessary for taking data mining-related lectures. To build basic knowledge and better understand the class content.,"In the case of classes, there are many results and reaction rates, and it is sometimes difficult to convert data. If handled properly, it can be used in many more cases."
14,I chose this Data Science class to improve my analytical and problem-solving skills. Data is an important role in making decisions. I hope this class helps me understand trends and patterns efficiently.,"I have a problem of choosing clothes/shoes to buy. By taking this course, it will help me make better decisions by collecting and analyzing data to see the most bought shoes. Concept of data mining will help choose the best one."
15,"While reading the book 'Why do machines learn?' during winter break, data clustering content appeared, so I chose it to learn more details at a 4th-year level.","I want to find patterns related to copyright law in my friend's work. By approaching text patterns using data mining methods, I could solve legal problems."
16,I want to solve various problems using data mining and learn by encountering real-world cases.,It is difficult because there is no way to see a large amount of data at once. I want to find a way to understand difficult-to-see information and organize it at once through data mining.
17,To learn more about data mining and how it could benefit website search engine optimization. Planning to integrate data mining insights. Intrigued by how collected and trained data can be extrapolated to predict future or upcoming data.,An AI model trained with date and specific parameters for a project. E.g. An AI model that collects BMI data and suggests eating habits and exercise based on weight and emotion. Data mining can shorten the research process by half.
18,I am a data science student but still don't know what I am learning until now and how to apply it in real world. Had taken machine learning and AI class last semester which could be helpful in this class.,"When people ask me 'what is data science?' I cannot answer. By taking this class and based on the concepts learned, I hope I can answer confidently. I can get out of my own anxiety."
19,Chose this class for team project. There are lots of advanced LLM models today and also image generation. Hope to learn how these work and make a great data processing class project with team.,"Image detection is related to the course concepts. For classification and detection of images, we need high-level pattern matching, data clustering. Real life: cameras on vehicles, CCTVs, autonomous driving (Tesla). Will learn basic concepts and apply to team project."
20,I chose this cause because I want to understand how data can be used to solve real world problems. I'm interested in Data Science. This class would help me build a foundation in analyzing data and making meaningful decisions.,"One problem is managing my sleep pattern. By collecting data on sleeping hours, screen time, and daily condition, I can find my sleep quality and build healthier habits."
21,I chose this course because I am interested in exploring how data works since every information and knowledge in life can also be considered as data.,Analyze my financial spending habits by looking at my purchases pattern. May optimize for more discounts or reduce overall spending.
22,Previously studied data mining with a vision-based topic. Want to learn more broadly and in practical fields where data mining can be used.,Game hack detection - detecting cheating in games through data mining by detecting abnormal behavior patterns.
23,I want to study in a direction that can be used in graduate school while learning algorithms related to data mining.,It is expected that personal transportation problems can be solved through data mining.
24,I work part-time at a shoe reselling company. Developed a software that mines data to make money.,"Edge cases in data, inconsistencies. Also: girlfriend lives near Hanyang and I live at Bomun - many ways to travel from A to B but the best route differs every time. Want to find the consistently best route."
25,I actually want to know and understand what data science is. I have a lot of friends in Data Science major but I don't really know what they do or how it differs from CS (AI). Hope this course can give me insights.,"I have many thought processes before I do something. Thoughts are overlapped and cluttered. Maybe I could learn how to process thoughts, know what's redundant, and understand what's important."
26,"Reason for choosing: mostly for fulfilling credits. But it also seemed the most interesting and useful, and we put with data evaluation.",Interesting to analyze reader behavior/patterns. Trying to explain why and how it relates to the world or psychology of a particular kind. Like a sociological/psychological analysis study.
27,I'm investigating how software developers improve their methods. Researchers draw out meaningful insights from data. Finding meaningful insights from real world data is important for my research. Chose this course to enhance my research.,"I'm riding subway daily to KU. The subway door closes too early even though there are lots of people to board. If opening door time would be flexibly determined based on data, it would improve subway experience."
28,I chose this course to develop my skills to analyze a vast amount of data. Got interested in AI & deep learning. Looking forward to getting knowledge about data science so I can adapt well in AI society where big data is important. Also wanted to experience team project.,There is too much to study and schedules often conflict. I hope this class will help me coordinate my schedule or organize information by having machines identify patterns.
29,"I am interested in Data Analysis and it might be considered to be my future career. I wish to learn more concepts, knowledge, and practice in university.","I do part-time jobs at a convenience store. Customers really buy similar groups of stuff most of the time, which can be categorized by gender, age, Korean/foreigners. That's why Data Science/Data Clustering is interesting."
30,One of the interesting topics I would like to know more about. Needed credit hours for major. DS is useful and needed knowledge that may help a lot in future career. Professor's teaching style is interesting.,"This course may help me choose further study field, in terms of company or university/professor. Through classifying and considering all options available, a better choice can be made."
31,"The course would teach me how to connect dots between other courses (machine learning, regression analysis, data visualization). Will gain better insights of real world data and how it will be processed.","I don't read maps very well. When at a shopping mall, instead of looking at store names, I read store numbers in order. Related to data arrangements in information boards where stores can be sorted by category/services alphabetically."
32,I want to learn to organize data and know how the field of Data Science is actually applied because data analyst job is trendy nowadays.,"I have problems organizing my belongings in my small house. Need to categorize things I need, throw away seasonal items. The concept of data mining, outlier and detection can be used to solve my problem."
33,"I was fascinated by the idea that data analysis is like cooking: cleaning and processing raw ingredients to create something meaningful. After learning that 80% of a data scientist's time is spent on data processing, I chose this course.",The lack of organization in my Google Cloud storage - massive number of files scattered without clear structure. Want to apply clustering and classification to automatically group similar documents and categorize unsorted files.
34,I was interested in methods that can extract interesting knowledge from massive data in various types. Taking this lecture especially to learn modern methods and apply through a team project.,"As a citizen in Gyeonggi province who commutes by public transportation, standing for over an hour is routine. Want to make a new algorithm that provides the best way to sit in train cars using mobile signal density data, adding a 'sitting first' option for route planning."
35,I wanted to place all classes in one day.,"Optimizing my nutrition plan by analyzing data on calorie intake, body weight, and exercise performance."
36,"I chose this course to learn guideline of Data Science. I'm afraid of solving problems which don't have specific answers. I want to know some guideline of Data Science (how to define answers, methods).","While studying global indicators, I want to obtain guidelines in a specialized field."
37,This is my first semester after completing military service (discharge date: Feb 26). Was looking for courses to take after returning to school. Found this course and signed up with enthusiasm. First semester back at school after military service.,NULL
38,"As a data science student, I am excited to learn data mining. I believe I will be able to learn the practical applications of data mining.","I expect to learn about pattern mining, classification, clustering, and outlier detection, and to be able to identify patterns in people's meditation characteristics by finding them as data through clustering."
39,I'm a Data Science major student. I can finally learn more about my major in details. All subjects from previous semesters are kind of broad and general so I still can't see the real definition of Data Science.,I've always struggled with scheduling and following plans. Can't organize well. Hope this course teaches me how to schedule my daily schedule through Data Mining.
40,"I would like to start my career as a quantitative researcher at an asset management company. Data mining is highly related to qualitative decisions, so I would like to adopt those types of skills & technologies.","Feature extraction that determines excess returns over the benchmark (factor selection). In other words, avoiding data overfitting (in DL, overfitting)."
41,"I'm interested in AI topics such as machine learning, clustering, etc. Also making statistics to study data analytics. Statistics are highly related to data science. With this course, I can get a lot of help to consider my career.",I'm using a company app for shipping and they recommend tools based on my data using clustering in complex ways. I could understand by attending this course how it works.
42,"My major is data science and still after studying for 2 years, I haven't got a concept of what I'm learning and exactly what my major is. I chose this course to understand truly what I am majoring on.",I bought an air purifier and I'm curious if I should keep it on 24 hours. The performance and needs would need to match balance with costs. Need data for evaluating and finding an efficient managing way.
43,"The reason was to get useful insights and skills for my personal data science project. I'm currently researching the relevance between a web novel's certain traits and the novel's hit rate. Data mining, outlier detection, classification would be a great theoretical foundation.","Researching web novel popularity. Could extract certain traits, filter out irrelevant items, and distinguish safe-to-go needs. Use this class to support my research and predict the hit rate of web novels."
44,I want to learn the fundamental concepts of data science as it is detrimental to my major. The team project for this class will help me gain good experience for my future career.,I tend to get distracted while studying and use my phone a lot. Would be great if I could build something that detects when I am not focused and reminds me to concentrate on my task.
45,"Finished military service at 2026.2.8 and returned to school. School culture, data science, AI, cyber security, machine learning had changed drastically in 2 years. Need to recover and exercise the main concepts and applications.",I studied cybersecurity and solved hundreds of CTF wargames from Dreamhack. Each paper has basic security theory and problem solving strategy. Some have common features. May I extract or cluster my papers so that I can search my archive efficiently?
46,I want to know more about data science. Also desperately needed to fill the quota for major subject credits. Data science class was a good enough choice.,"I know data science is all about finding interesting patterns. My first 2 years in Korea, my grades were always going lower. But suddenly last semester I got the highest grade. Was it anomalous? Hope I can get a good grade so my grades data will keep increasing."
47,"I want to understand how data in general works. As a computer science student, I handle data everyday using computers, but not often manually. I decided to take this class to look further in depth.","All my friends have different food preferences and allergies which can act as data to decide a restaurant everyone agrees on. Categorizing by dietary restrictions, cuisine preferences, post-restaurant ratings - a recommendation system could suggest suitable restaurants."
48,Biggest reason: class is on Friday 9AM - needed motivation to wake up after military service (discharged Dec 2025). Second reason: progress of AI - I should train myself in areas AI cannot take over.,"I'm interested in learning other languages. Since I am a lazy man, I wanted to learn a new language faster and easier. Want to gather many datasets of several methods of learning language to discover the most effective method using MRI pictures, brain waves, behavior, etc."
49,"Data Science is the most important topic nowadays. As a software engineer, I chose to learn core concepts of this lecture to learn what the data says.","As a PL enthusiast, I want to devise some role/function language that has some engineers who write clean code for specific language. Want to answer: which tool should I use?"
50,Because I can solve various problems in the world with data. I became very interested in the introductory machine learning course and wanted to study it further. I wanted to build my ability to handle data.,"The problem of deliberating on which situation to apply various algorithms to. I would like to practice all the major algorithms through a project, define a real-world problem, and propose a solution."
51,"Reason: I believe when we go to work, wherever we end up will always work with data. Chose this class to improve my data managing skills in preparation for career life. Having extra soft skills is always good for job seeking.",I always have problems managing my expenses. Can't manage what to buy and what's not to. I will always end up not knowing where I spent my money.
52,"It has been one of my bucket list to study and learn about data mining, i.e. how to mine it correctly, the proper method, how to implement novel models. Motivation came from last semester's Deep Learning class.",I tend to write lecture notes online using Notion. I do find some connections between my notes despite taking notes on different subjects. Want to apply data mining concepts to clearly organize my notes and relate them based on their relevance.
