No.,Q1,Label
32,I want to learn to organize data and know how the field of Data Science is actually applied because data analyst job is trendy nowadays.,Learn
33,"I was fascinated by the idea that data analysis is like cooking: cleaning and processing raw ingredients to create something meaningful. After learning that 80% of a data scientist's time is spent on data processing, I chose this course.",Military
34,I was interested in methods that can extract interesting knowledge from massive data in various types. Taking this lecture especially to learn modern methods and apply through a team project.,Learn
35,I wanted to place all classes in one day.,Time
36,"I chose this course to learn guideline of Data Science. I'm afraid of solving problems which don't have specific answers. I want to know some guideline of Data Science (how to define answers, methods).",Learn
37,This is my first semester after completing military service (discharge date: Feb 26). Was looking for courses to take after returning to school. Found this course and signed up with enthusiasm. First semester back at school after military service.,Military
38,"As a data science student, I am excited to learn data mining. I believe I will be able to learn the practical applications of data mining.",Learn
39,I'm a Data Science major student. I can finally learn more about my major in details. All subjects from previous semesters are kind of broad and general so I still can't see the real definition of Data Science.,Learn
40,"I would like to start my career as a quantitative researcher at an asset management company. Data mining is highly related to qualitative decisions, so I would like to adopt those types of skills & technologies.",Learn
41,"I'm interested in AI topics such as machine learning, clustering, etc. Also making statistics to study data analytics. Statistics are highly related to data science. With this course, I can get a lot of help to consider my career.",Requirements
42,"My major is data science and still after studying for 2 years, I haven't got a concept of what I'm learning and exactly what my major is. I chose this course to understand truly what I am majoring on.",Learn
43,"The reason was to get useful insights and skills for my personal data science project. I'm currently researching the relevance between a web novel's certain traits and the novel's hit rate. Data mining, outlier detection, classification would be a great theoretical foundation.",Learn
44,I want to learn the fundamental concepts of data science as it is detrimental to my major. The team project for this class will help me gain good experience for my future career.,Learn
45,"Finished military service at 2026.2.8 and returned to school. School culture, data science, AI, cyber security, machine learning had changed drastically in 2 years. Need to recover and exercise the main concepts and applications.",Recover
46,I want to know more about data science. Also desperately needed to fill the quota for major subject credits. Data science class was a good enough choice.,Learn
47,"I want to understand how data in general works. As a computer science student, I handle data everyday using computers, but not often manually. I decided to take this class to look further in depth.",Learn
48,Biggest reason: class is on Friday 9AM - needed motivation to wake up after military service (discharged Dec 2025). Second reason: progress of AI - I should train myself in areas AI cannot take over.,Time
49,"Data Science is the most important topic nowadays. As a software engineer, I chose to learn core concepts of this lecture to learn what the data says.",Learn
50,Because I can solve various problems in the world with data. I became very interested in the introductory machine learning course and wanted to study it further. I wanted to build my ability to handle data.,Develop
51,"Reason: I believe when we go to work, wherever we end up will always work with data. Chose this class to improve my data managing skills in preparation for career life. Having extra soft skills is always good for job seeking.",Improve
52,"It has been one of my bucket list to study and learn about data mining, i.e. how to mine it correctly, the proper method, how to implement novel models. Motivation came from last semester's Deep Learning class.",Learn
